#EVENT 2022-08-17 07:00 - 2022-09-30 21:00 (calib 2022-09-06 14:00 - 2022-09-30 21:00)
#time	theta
3052800	0.212983
3056400	0.212533
3060000	0.211767
3063600	0.21195
3067200	0.21255
3070800	0.21275
3074400	0.213033
3078000	0.2127835
3081600	0.2121165
3085200	0.2117165
3088800	0.2110835
3092400	0.2109
3096000	0.2107835
3099600	0.2109835
3103200	0.211
3106800	0.211
3110400	0.21105
3114000	0.211667
3117600	0.2119665
3121200	0.2115165
3124800	0.2101
3128400	0.2108335
3132000	0.2091
3135600	0.209
3139200	0.20795
3142800	0.2082165
3146400	0.20935
3150000	0.2093
3153600	0.209033
3157200	0.208167
3160800	0.2077335
3164400	0.2079335
3168000	0.20705
3171600	0.2066165
3175200	0.2069835
3178800	0.207
3182400	0.2074
3186000	0.208
3189600	0.2074335
3193200	0.20725
3196800	0.2061665
3200400	0.205
3204000	0.204333
3207600	0.205217
3211200	0.2058835
3214800	0.20455
3218400	0.203233
3222000	0.204367
3225600	0.2023
3229200	0.2024335
3232800	0.20295
3236400	0.2037335
3240000	0.204
3243600	0.203283
3247200	0.2029665
3250800	0.203133
3254400	0.202683
3258000	0.202617
3261600	0.201417
3265200	0.20035
3268800	0.2008335
3272400	0.2010665
3276000	0.2010335
3279600	0.2016
3283200	0.2019835
3286800	0.202
3290400	0.2015835
3294000	0.2007
3297600	0.2016
3301200	0.1998
3304800	0.1978335
3308400	0.1974835
3312000	0.196817
3315600	0.1968165
3319200	0.1973835
3322800	0.1971
3326400	0.1970165
3330000	0.197033
3333600	0.1974835
3337200	0.19795
3340800	0.1977
3344400	0.1968665
3348000	0.19605
3351600	0.19595
3355200	0.195933
3358800	0.19585
3362400	0.19615
3366000	0.1967665
3369600	0.1967
3373200	0.1967
3376800	0.1968165
3380400	0.1949835
3384000	0.195
3387600	0.193067
3391200	0.1925165
3394800	0.192767
3398400	0.190967
3402000	0.1915665
3405600	0.1919665
3409200	0.192
3412800	0.1920835
3416400	0.194417
3420000	0.2269665
3423600	0.2396335
3427200	0.24415
3430800	0.24655
3434400	0.2447
3438000	0.244
3441600	0.2444835
3445200	0.2449
3448800	0.2436165
3452400	0.2426665
3456000	0.243
3459600	0.2431
3463200	0.2435665
3466800	0.2438835
3470400	0.2428835
3474000	0.24145
3477600	0.2411
3481200	0.2402165
3484800	0.2399
3488400	0.238817
3492000	0.239
3495600	0.239
3499200	0.2388165
3502800	0.2374165
3506400	0.2377835
3510000	0.238333
3513600	0.238117
3517200	0.23715
3520800	0.23495
3524400	0.2346335
3528000	0.2350665
3531600	0.23525
3535200	0.235967
3538800	0.235767
3542400	0.2338
3546000	0.2347165
3549600	0.2351335
3553200	0.2358165
3556800	0.2343
3560400	0.2336
3564000	0.2322665
3567600	0.232
3571200	0.2309335
3574800	0.23005
3578400	0.23015
3582000	0.23105
3585600	0.2325
3589200	0.2328835
3592800	0.23215
3596400	0.23245
3600000	0.23135
3603600	0.23065
3607200	0.232117
3610800	0.2336835
3614400	0.232267
3618000	0.2324
3621600	0.2323335
3625200	0.2326665
3628800	0.2329165
3632400	0.23385
3636000	0.241883
3639600	0.2627
3643200	0.27355
3646800	0.2757165
3650400	0.2769
3654000	0.2782835
3657600	0.2824665
3661200	0.2830165
3664800	0.283
3668400	0.28305
3672000	0.2813165
3675600	0.2807165
3679200	0.281383
3682800	0.279
3686400	0.279783
3690000	0.278033
3693600	0.2767835
3697200	0.276
3700800	0.276
3704400	0.2749165
3708000	0.2748
3711600	0.2744
3715200	0.2721165
3718800	0.2729165
3722400	0.2729335
3726000	0.2711
3729600	0.2709
3733200	0.270033
3736800	0.26895
3740400	0.266633
3744000	0.2680165
3747600	0.2662335
3751200	0.2664
3754800	0.2665
3758400	0.2658
3762000	0.2652665
3765600	0.2649335
3769200	0.26485
3772800	0.2646165
3776400	0.264
3780000	0.2631665
3783600	0.2639665
3787200	0.2630835
3790800	0.2611
3794400	0.261
3798000	0.2617335
3801600	0.26095
3805200	0.259617
3808800	0.2599835
3812400	0.26
3816000	0.2585
3819600	0.257617
3823200	0.257933
3826800	0.2570665
3830400	0.2554835
3834000	0.2543
3837600	0.2548835
3841200	0.2553
3844800	0.25595
3848400	0.2554335
3852000	0.254367
